id,name,description
c16a9852-046d-4167-9fb9-976ef9b52e9a,Alimentation,"Produits frais, epicerie, boissons"
bd799a6b-aed4-4c93-badc-95614a125d64,Hygiene & Beaute,"Soins, cosmetiques, parfums"
dc8812b9-bd37-4ec4-ac79-9409d34eb3e6,Electronique,"Smartphones, accessoires, audio"
e75929e7-c0d0-430d-bc3c-2072b2d5ff26,Maison & Jardin,"Mobilier, decoration, jardinage"
52c7c957-1e98-4225-87b5-6d682d940fb3,Vetements Homme,Mode masculine toutes saisons
496e39a8-879c-4351-82ae-dd3a31b76a95,Vetements Femme,Mode feminine toutes saisons
3fd428c9-c200-4a85-824b-0de411a5e9c0,Enfants & Jouets,"Puericulture, jeux, loisirs"
c2735c41-02b7-4791-8087-5223ae40bfe6,Sport & Plein air,"Equipements sportifs, fitness"
74d56ed4-8193-4488-8c34-3fa24a4cb643,Librairie & Culture,"Livres, musique, papeterie"
f73d17bc-1736-404b-840f-166817cd8584,Informatique,"Ordinateurs, logiciels, peripheriques"
