id,customer_id,order_date,status,subtotal,shipping_cost,total_amount,payment_method,delivery_city
3abbac4f-9372-437e-bb05-8eb04cb5d8d5,4c5a05bb-5d66-4135-9400-0adf3a0813b9,2026-02-11 14:57:28,cancelled,418.69,4.9,423.59,PayPal,Marseille
9b1e2add-c466-4ef3-b866-af0517bcfdde,d152dce1-782a-4a8a-834a-06c7bc719bca,2024-10-12 14:57:28,pending,179.21,0.0,179.21,Especes,Lyon
a42123e6-08f6-4e94-8eac-66a5dcc701c5,c3305ee5-56f1-40b3-9170-59b58fe733b8,2026-06-19 14:57:28,completed,328.33,5.9,334.23,Carte bancaire,Dijon
f48e4bad-a98d-4c48-a20b-a52cfa618ddc,7ae88512-b564-42d6-bd63-9e71e4482b22,2026-07-25 14:57:28,completed,67.66,0.0,67.66,Especes,Toulon
f822bd30-ac71-436d-af0b-664b7f590f52,44f1d1c6-f801-458c-b73d-d35eb50bd817,2026-08-15 14:57:28,cancelled,246.33,4.9,251.23,Carte bancaire,Brest
a6d7c299-466f-431c-a355-1c117854abae,8dd12d50-9207-42a3-a704-2df973609509,2026-07-29 14:57:28,completed,76.56,5.9,82.46,Virement,Lille
c7f28dc6-33d3-4d7a-aac0-011948335d1a,8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,2026-02-11 14:57:28,refunded,32.91,4.9,37.81,Carte bancaire,Nice
349cd85d-198e-4a66-8573-532c0e86c6b3,fa19a288-b2db-4cae-89f1-32f430ba1376,2025-12-07 14:57:28,refunded,235.32,5.9,241.22,Carte bancaire,Lille
c43c57d9-7ad8-46e9-9b0e-0930db3d9c40,8cb75032-3403-4a3c-bef1-7270ba2964a8,2025-02-20 14:57:28,completed,391.54,0.0,391.54,Virement,Angers
706a644a-d94d-4d35-ba30-c773bcec63aa,bfd7a2cb-4652-433e-ada5-8330ade8d905,2026-04-10 14:57:28,completed,297.3,4.9,302.2,PayPal,Dijon
4e4ea915-641a-40e7-a171-c7c4792137a0,c3305ee5-56f1-40b3-9170-59b58fe733b8,2025-10-15 14:57:28,pending,284.15,4.9,289.05,Carte bancaire,Dijon
ba926d5c-97fc-44e1-b87a-baee352a3e8f,679340af-3555-4642-b310-4aee6563f29a,2026-07-30 14:57:28,refunded,48.06,7.9,55.96,PayPal,Paris
757623c1-27f1-4f4e-809d-23374a2aed07,38ca9deb-bac5-4e74-bd9c-ac77b082d942,2025-08-06 14:57:28,refunded,84.07,7.9,91.97,Especes,Lyon
e8fb894c-ce59-449f-95aa-63f477723689,c3305ee5-56f1-40b3-9170-59b58fe733b8,2026-07-08 14:57:28,pending,344.41,4.9,349.31,PayPal,Dijon
c5271c43-d776-411d-a035-4bcb499fa93e,7045ade5-127f-43c2-ae13-ab92c7b8954b,2025-04-25 14:57:28,completed,134.32,5.9,140.22,Especes,Nantes
d69aab0c-5b85-4b30-81ac-f3a1c3b56826,adaa3468-cae7-4dee-a567-8aa2038a02d6,2024-11-30 14:57:28,completed,475.08,5.9,480.98,PayPal,Marseille
f14d8981-1fc4-4acc-bb49-af7d01c6938e,8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,2026-07-03 14:57:28,cancelled,269.8,0.0,269.8,Virement,Grenoble
2702cde8-626b-4c9c-b3cc-550eadf85f5f,8cb75032-3403-4a3c-bef1-7270ba2964a8,2025-02-15 14:57:28,refunded,155.6,7.9,163.5,Especes,Toulouse
e7428df3-3df3-4e1a-877c-94a133d4fe84,adaa3468-cae7-4dee-a567-8aa2038a02d6,2025-09-09 14:57:28,pending,44.82,0.0,44.82,PayPal,Marseille
e94d669d-ad5d-48ef-94bb-37a1cf1845f2,eb66331b-ef7d-4751-8677-1cf70a286fc7,2025-01-02 14:57:28,refunded,346.4,7.9,354.3,Carte bancaire,Angers
42a0acb5-af4e-48c3-8587-838a20d4d75d,b40e1ed2-8f22-47ca-8f78-9b713576b1cf,2026-06-04 14:57:28,pending,203.7,0.0,203.7,Especes,Angers
16c200bd-6644-43aa-a371-291c8be48b47,8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,2026-03-27 14:57:28,pending,35.7,0.0,35.7,Cheque,Marseille
7ab263f7-b57b-44cd-9dd9-adecab5d281f,8dd12d50-9207-42a3-a704-2df973609509,2026-06-13 14:57:28,cancelled,193.81,0.0,193.81,Carte bancaire,Toulon
aa052d81-08b3-414e-ab8c-2037117bdae9,1f01f874-9675-4407-a020-2417c005632b,2025-06-29 14:57:28,completed,38.7,7.9,46.6,Virement,Strasbourg
c3c97b35-83fd-4ea8-bf99-fa63f2d3c09a,c3305ee5-56f1-40b3-9170-59b58fe733b8,2024-10-07 14:57:28,completed,355.52,7.9,363.42,Virement,Brest
274c2d32-1b73-437d-afc1-1bbb9a89de0a,26d76a2e-483f-47fc-94d0-c67cbe6fbe50,2025-01-23 14:57:28,cancelled,891.61,7.9,899.51,Carte bancaire,Paris
823e36ae-b805-4a24-aa92-331582acb939,adaa3468-cae7-4dee-a567-8aa2038a02d6,2026-03-24 14:57:28,refunded,185.82,7.9,193.72,Virement,Montpellier
6ce61bb2-b420-40b0-a100-c2fbb3a08edd,d6e7450f-1a0c-4db7-aa7a-8b88caca710a,2025-12-30 14:57:28,completed,114.77,5.9,120.67,Carte bancaire,Lille
9b848dba-c5eb-4a1d-8204-0978191ea124,2b463265-6498-4585-a990-27d8116f1a9f,2026-01-17 14:57:28,completed,389.23,5.9,395.13,Cheque,Bordeaux
96f247d0-0da6-4570-a63e-1783f265c46c,a9915adb-6584-4667-921b-163dc1cbc38a,2025-11-23 14:57:28,completed,175.27,0.0,175.27,Carte bancaire,Dijon
ec2923cf-ac7a-4e20-9564-d9ad46f72b5d,8c852709-a20e-4f99-805b-ca99a7a0c008,2026-06-14 14:57:28,pending,483.78,5.9,489.68,Especes,Lyon
904680ec-bb0c-4aca-8c49-1fe2c58c2293,db09975f-c2ad-4ec8-ae35-a0cfa2c71e8c,2026-09-04 14:57:28,cancelled,604.05,0.0,604.05,Carte bancaire,Toulon
cc736c5c-d791-4d47-80b0-8a69b733537b,8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,2024-10-28 14:57:28,completed,340.5,0.0,340.5,PayPal,Bordeaux
6a95abf0-0bdd-4e1f-9e2d-a36a8adee360,6e0c17d2-b91a-4a68-b378-69d3e6cd2dce,2026-05-31 14:57:28,completed,99.62,7.9,107.52,PayPal,Toulouse
671875b3-0fc1-4f87-8f47-b94f8e5f3ba1,679340af-3555-4642-b310-4aee6563f29a,2026-03-18 14:57:28,completed,175.55,0.0,175.55,Cheque,Montpellier
